Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.428620, 0, 0, 0, 0, 0, 2, 0 
0.428621, 2, 0, 0, 0, 0, 2, 1 
0.861113, 2, 0, 0, 0, 0, 3, 1 
0.893639, 4, 0, 0, 0, 0, 3, 2 
0.942994, 4, 0, 0, 0, 0, 4, 2 
0.942994, 6, 0, 0, 0, 0, 4, 3 
2.341712, 6, 0, 0, 0, 0, 5, 3 
2.345233, 8, 0, 0, 0, 0, 5, 4 
3.447054, 8, 0, 0, 0, 0, 6, 4 
3.454591, 10, 0, 0, 0, 0, 6, 5 
4.197458, 10, 0, 0, 0, 0, 7, 5 
5.168239, 10, 0, 0, 0, 0, 8, 5 
5.168239, 12, 0, 0, 0, 0, 8, 6 
19.572411, 12, 0, 0, 0, 0, 9, 6 
19.574435, 14, 0, 0, 0, 0, 9, 7 
19.677363, 14, 0, 0, 0, 0, 10, 7 
19.695787, 16, 0, 0, 0, 0, 10, 8 
20.089680, 16, 0, 0, 0, 0, 11, 8 
20.089680, 18, 0, 0, 0, 0, 11, 9 
20.450313, 18, 0, 0, 0, 0, 12, 9 
20.450313, 20, 0, 0, 0, 0, 12, 10 
20.934674, 20, 0, 0, 0, 0, 13, 10 
20.934679, 22, 0, 0, 0, 0, 13, 11 
24.499721, 22, 0, 0, 0, 0, 14, 11 
24.499721, 24, 0, 0, 0, 0, 14, 12 
24.721620, 24, 0, 0, 0, 0, 15, 12 
24.722709, 26, 0, 0, 0, 0, 15, 13 
24.814483, 26, 0, 0, 0, 0, 16, 13 
24.814483, 28, 0, 0, 0, 0, 16, 14 
28.949696, 28, 0, 0, 0, 0, 17, 14 
28.949696, 30, 0, 0, 0, 0, 17, 15 
29.842179, 30, 0, 0, 0, 0, 18, 15 
29.882158, 32, 0, 0, 0, 0, 18, 16 
30.433601, 32, 0, 0, 0, 0, 19, 16 
30.446197, 34, 0, 0, 0, 0, 19, 17 
36.025536, 34, 0, 0, 0, 0, 20, 17 
36.035004, 36, 0, 0, 0, 0, 20, 18 
42.327719, 36, 0, 0, 0, 0, 21, 18 
42.327719, 38, 0, 0, 0, 0, 21, 19 
42.555657, 38, 0, 0, 0, 0, 22, 19 
42.555825, 40, 0, 0, 0, 0, 22, 20 
43.059207, 40, 0, 0, 0, 0, 23, 20 
43.152197, 42, 0, 0, 0, 0, 23, 21 
44.915885, 42, 0, 0, 0, 0, 24, 21 
44.918743, 44, 0, 0, 0, 0, 24, 22 
44.983596, 44, 0, 0, 0, 0, 25, 22 
44.992493, 46, 0, 0, 0, 0, 25, 23 
46.020174, 46, 0, 0, 0, 0, 26, 23 
46.020174, 48, 0, 0, 0, 0, 26, 24 
49.660463, 48, 0, 0, 0, 0, 27, 24 
49.662905, 50, 0, 0, 0, 0, 27, 25 
49.892314, 50, 0, 0, 0, 0, 28, 25 
49.892328, 52, 0, 0, 0, 0, 28, 26 
53.982948, 52, 0, 0, 0, 0, 29, 26 
54.016742, 54, 0, 0, 0, 0, 29, 27 
54.916471, 54, 0, 0, 0, 0, 30, 27 
55.119649, 54, 0, 0, 0, 0, 31, 27 
55.119649, 56, 0, 0, 0, 0, 31, 28 
55.312134, 58, 0, 0, 0, 0, 31, 29 
55.638578, 58, 0, 0, 0, 0, 32, 29 
55.656242, 60, 0, 0, 0, 0, 32, 30 
57.469809, 60, 0, 0, 0, 0, 33, 30 
