Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.146323, 0, 0, 0, 0, 0, 2, 0 
0.146331, 2, 0, 0, 0, 0, 2, 1 
0.331421, 2, 0, 0, 0, 0, 3, 1 
0.332250, 4, 0, 0, 0, 0, 3, 2 
0.528653, 4, 0, 0, 0, 0, 4, 2 
0.528653, 6, 0, 0, 0, 0, 4, 3 
0.584729, 8, 0, 0, 0, 0, 4, 4 
0.872425, 8, 0, 0, 0, 0, 5, 4 
0.872425, 10, 0, 0, 0, 0, 5, 5 
0.886904, 10, 0, 0, 0, 0, 6, 5 
0.917432, 12, 0, 0, 0, 0, 6, 6 
0.930513, 12, 0, 0, 0, 0, 7, 6 
0.930513, 14, 0, 0, 0, 0, 7, 7 
1.159123, 14, 0, 0, 0, 0, 8, 7 
1.159123, 16, 0, 0, 0, 0, 8, 8 
1.709164, 16, 0, 0, 0, 0, 9, 8 
1.723852, 18, 0, 0, 0, 0, 9, 9 
1.744523, 18, 0, 0, 0, 0, 10, 9 
1.744523, 20, 0, 0, 0, 0, 10, 10 
2.576780, 20, 0, 0, 0, 0, 11, 10 
2.578231, 22, 0, 0, 0, 0, 11, 11 
3.379608, 22, 0, 0, 0, 0, 12, 11 
3.455705, 24, 0, 0, 0, 0, 12, 12 
3.933854, 24, 0, 0, 0, 0, 13, 12 
3.933854, 26, 0, 0, 0, 0, 13, 13 
4.001960, 26, 0, 0, 0, 0, 14, 13 
4.001960, 28, 0, 0, 0, 0, 14, 14 
4.075282, 28, 0, 0, 0, 0, 15, 14 
4.075282, 30, 0, 0, 0, 0, 15, 15 
4.107929, 30, 0, 0, 0, 0, 16, 15 
4.110798, 32, 0, 0, 0, 0, 16, 16 
4.161460, 32, 0, 0, 0, 0, 17, 16 
4.311085, 34, 0, 0, 0, 0, 17, 17 
4.711280, 34, 0, 0, 0, 0, 18, 17 
4.711280, 36, 0, 0, 0, 0, 18, 18 
4.715780, 36, 0, 0, 0, 0, 19, 18 
4.717084, 38, 0, 0, 0, 0, 19, 19 
4.772758, 38, 0, 0, 0, 0, 20, 19 
4.772758, 40, 0, 0, 0, 0, 20, 20 
4.811609, 40, 0, 0, 0, 0, 21, 20 
4.812407, 42, 0, 0, 0, 0, 21, 21 
4.988269, 42, 0, 0, 0, 0, 22, 21 
4.988269, 44, 0, 0, 0, 0, 22, 22 
5.225363, 44, 0, 0, 0, 0, 23, 22 
5.225363, 46, 0, 0, 0, 0, 23, 23 
5.231961, 46, 0, 0, 0, 0, 24, 23 
5.241651, 48, 0, 0, 0, 0, 24, 24 
5.244669, 48, 0, 0, 0, 0, 25, 24 
5.244669, 50, 0, 0, 0, 0, 25, 25 
5.334696, 50, 0, 0, 0, 0, 26, 25 
5.397175, 50, 0, 0, 0, 0, 27, 25 
5.656161, 52, 0, 0, 0, 0, 27, 26 
6.061966, 54, 0, 0, 0, 0, 27, 27 
6.964607, 54, 0, 0, 0, 0, 28, 27 
7.529824, 54, 0, 0, 0, 0, 29, 27 
8.728085, 54, 0, 0, 0, 0, 30, 27 
8.734390, 54, 0, 0, 0, 0, 31, 27 
8.758929, 54, 0, 0, 0, 0, 32, 27 
8.758929, 56, 0, 0, 0, 0, 32, 28 
8.776386, 56, 0, 0, 0, 0, 33, 28 
8.776386, 58, 0, 0, 0, 0, 33, 29 
8.777590, 60, 0, 0, 0, 0, 33, 30 
8.824516, 60, 0, 0, 0, 0, 34, 30 
8.827040, 60, 0, 0, 0, 0, 35, 30 
8.827798, 62, 0, 0, 0, 0, 35, 31 
8.949787, 64, 0, 0, 0, 0, 35, 32 
9.693545, 64, 0, 0, 0, 0, 36, 32 
9.735083, 66, 0, 0, 0, 0, 36, 33 
9.751566, 66, 0, 0, 0, 0, 37, 33 
9.878199, 66, 0, 0, 0, 0, 38, 33 
9.878199, 68, 0, 0, 0, 0, 38, 34 
9.911846, 68, 0, 0, 0, 0, 39, 34 
9.911846, 70, 0, 0, 0, 0, 39, 35 
9.970023, 70, 0, 0, 0, 0, 40, 35 
9.993631, 72, 0, 0, 0, 0, 40, 36 
10.094337, 72, 0, 0, 0, 0, 41, 36 
10.102781, 74, 0, 0, 0, 0, 41, 37 
10.495900, 74, 0, 0, 0, 0, 42, 37 
10.495904, 76, 0, 0, 0, 0, 42, 38 
10.668248, 76, 0, 0, 0, 0, 43, 38 
10.668871, 78, 0, 0, 0, 0, 43, 39 
10.671582, 78, 0, 0, 0, 0, 44, 39 
10.844735, 80, 0, 0, 0, 0, 44, 40 
10.915430, 80, 0, 0, 0, 0, 45, 40 
10.915430, 82, 0, 0, 0, 0, 45, 41 
10.918114, 82, 0, 0, 0, 0, 46, 41 
10.922518, 84, 0, 0, 0, 0, 46, 42 
10.931351, 84, 0, 0, 0, 0, 47, 42 
10.950799, 84, 0, 0, 0, 0, 48, 42 
10.962937, 86, 0, 0, 0, 0, 48, 43 
11.007385, 86, 0, 0, 0, 0, 49, 43 
11.023555, 86, 0, 0, 0, 0, 50, 43 
11.023555, 88, 0, 0, 0, 0, 50, 44 
11.025795, 90, 0, 0, 0, 0, 50, 45 
11.124112, 90, 0, 0, 0, 0, 51, 45 
11.124112, 92, 0, 0, 0, 0, 51, 46 
11.258511, 92, 0, 0, 0, 0, 52, 46 
11.258511, 94, 0, 0, 0, 0, 52, 47 
11.433752, 96, 0, 0, 0, 0, 52, 48 
11.465119, 96, 0, 0, 0, 0, 53, 48 
11.465236, 98, 0, 0, 0, 0, 53, 49 
11.486233, 98, 0, 0, 0, 0, 54, 49 
11.493323, 98, 0, 0, 0, 0, 55, 49 
11.495437, 100, 0, 0, 0, 0, 55, 50 
11.546835, 102, 0, 0, 0, 0, 55, 51 
11.643724, 102, 0, 0, 0, 0, 56, 51 
11.648096, 104, 0, 0, 0, 0, 56, 52 
11.842320, 104, 0, 0, 0, 0, 57, 52 
11.842529, 106, 0, 0, 0, 0, 57, 53 
11.948856, 106, 0, 0, 0, 0, 58, 53 
12.197893, 106, 0, 0, 0, 0, 59, 53 
12.197893, 108, 0, 0, 0, 0, 59, 54 
12.257620, 108, 0, 0, 0, 0, 60, 54 
12.257620, 110, 0, 0, 0, 0, 60, 55 
14.333513, 110, 0, 0, 0, 0, 61, 55 
14.359069, 112, 0, 0, 0, 0, 61, 56 
14.473700, 112, 0, 0, 0, 0, 62, 56 
14.487819, 114, 0, 0, 0, 0, 62, 57 
14.576050, 114, 0, 0, 0, 0, 63, 57 
14.576052, 116, 0, 0, 0, 0, 63, 58 
14.641492, 116, 0, 0, 0, 0, 64, 58 
14.641492, 118, 0, 0, 0, 0, 64, 59 
14.767802, 118, 0, 0, 0, 0, 65, 59 
14.767837, 120, 0, 0, 0, 0, 65, 60 
14.879047, 120, 0, 0, 0, 0, 66, 60 
14.879047, 122, 0, 0, 0, 0, 66, 61 
15.090831, 122, 0, 0, 0, 0, 67, 61 
15.210946, 122, 0, 0, 0, 0, 68, 61 
15.210946, 124, 0, 0, 0, 0, 68, 62 
15.275434, 124, 0, 0, 0, 0, 69, 62 
15.275434, 126, 0, 0, 0, 0, 69, 63 
15.307305, 126, 0, 0, 0, 0, 70, 63 
15.384794, 126, 0, 0, 0, 0, 71, 63 
15.384794, 128, 0, 0, 0, 0, 71, 64 
15.385342, 128, 0, 0, 0, 0, 72, 64 
15.542187, 128, 0, 0, 0, 0, 73, 64 
15.542247, 130, 0, 0, 0, 0, 73, 65 
15.567303, 132, 0, 0, 0, 0, 73, 66 
15.611168, 132, 0, 0, 0, 0, 74, 66 
15.629298, 132, 0, 0, 0, 0, 75, 66 
15.629298, 134, 0, 0, 0, 0, 75, 67 
16.392398, 136, 0, 0, 0, 0, 75, 68 
16.587064, 136, 0, 0, 0, 0, 76, 68 
16.587102, 138, 0, 0, 0, 0, 76, 69 
17.300777, 138, 0, 0, 0, 0, 77, 69 
17.300777, 140, 0, 0, 0, 0, 77, 70 
17.465684, 140, 0, 0, 0, 0, 78, 70 
17.465684, 142, 0, 0, 0, 0, 78, 71 
17.628294, 142, 0, 0, 0, 0, 79, 71 
17.628294, 144, 0, 0, 0, 0, 79, 72 
17.834428, 144, 0, 0, 0, 0, 80, 72 
17.834428, 146, 0, 0, 0, 0, 80, 73 
17.837565, 146, 0, 0, 0, 0, 81, 73 
17.875590, 148, 0, 0, 0, 0, 81, 74 
17.921848, 148, 0, 0, 0, 0, 82, 74 
17.935095, 148, 0, 0, 0, 0, 83, 74 
17.935095, 150, 0, 0, 0, 0, 83, 75 
18.014137, 150, 0, 0, 0, 0, 84, 75 
18.014137, 152, 0, 0, 0, 0, 84, 76 
18.158619, 154, 0, 0, 0, 0, 84, 77 
18.514985, 154, 0, 0, 0, 0, 85, 77 
18.523527, 156, 0, 0, 0, 0, 85, 78 
19.063944, 156, 0, 0, 0, 0, 86, 78 
19.073367, 158, 0, 0, 0, 0, 86, 79 
19.124607, 158, 0, 0, 0, 0, 87, 79 
19.131280, 160, 0, 0, 0, 0, 87, 80 
19.134254, 160, 0, 0, 0, 0, 88, 80 
19.134254, 162, 0, 0, 0, 0, 88, 81 
19.174655, 162, 0, 0, 0, 0, 89, 81 
19.307381, 162, 0, 0, 0, 0, 90, 81 
19.307381, 164, 0, 0, 0, 0, 90, 82 
19.693226, 164, 0, 0, 0, 0, 91, 82 
19.699029, 166, 0, 0, 0, 0, 91, 83 
20.001978, 166, 0, 0, 0, 0, 92, 83 
20.001978, 168, 0, 0, 0, 0, 92, 84 
